t,n,message_size,signature_size,signature_duration,verification_duration
2,5,64,96,3.1892657280000094,0.18249462299991137
4,5,64,96,1.074361281999927,0.4493931340000472
8,10,64,96,5.473779004999869,0.375201326000024
4,10,64,96,5.240564383999981,0.3570536980000725
7,10,64,96,5.0486483410002165,0.18325589400001263
10,15,64,96,14.029190309999649,0.31065689599972757
12,15,64,96,10.225793719000194,0.22414100900004996
5,15,64,96,9.555572755999947,0.26042073000007804
16,20,64,96,17.28939445700007,0.1608238320000055
13,20,64,96,16.836309104000065,0.26398425200022757
7,20,64,96,15.254983322000044,0.16071416900012991
2,5,128,96,0.9653016040001603,0.1628961779997553
4,5,128,96,3.1934852009999304,0.1631149690001621
8,10,128,96,4.879757425000207,0.1606134789999487
4,10,128,96,4.71408106600029,0.2625743219996366
7,10,128,96,5.434806827000102,0.24735536300067906
10,15,128,96,9.676513178000278,0.38682594599958975
12,15,128,96,11.629259433999323,0.1613717970003563
5,15,128,96,11.595254519000264,0.19923612200000207
